Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
250,Ips amitinus,1696,Microsporidia,Chytridiopsis cf. typographi,Austria,pathogen,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
251,Ips amitinus,1696,Microsporidia,Unikaryon-type microsporidium,Austria,pathogen,,,midgut epithelium; fat body; gonads,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
256,Hylurgops palliatus,409,Microsporidia,Nosema-type microsporidium,Austria,pathogen,,,midgut epithelium; fat body,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
259,Polygraphus poligraphus,3365,Microsporidia,Unikaryon polygraphi,Austria,pathogen,,,midgut epithelium; malpighian tubules; fat body; gonads,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
269,Ips duplicatus,5921,Microsporidia,Larssoniella duplicati,Poland,pathogen,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
270,Ips duplicatus,5921,Microsporidia,Larssoniella duplicati,Czech Republic,pathogen,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
276,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Poland,pathogen,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
277,Ips duplicatus,5921,Microsporidia,Chytridiopsis typographi,Poland,pathogen,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
278,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
279,Ips duplicatus,5921,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
280,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
281,Ips duplicatus,5921,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
282,Ips typographus,1733,Microsporidia,Nosema typographi,Czech Republic,pathogen,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
284,Ips duplicatus,5921,Microsporidia,Larssoniella duplicati,Czech Republic,pathogen,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
287,Ips cembrae,5919,Microsporidia,Chytridiopsis typographi,Austria,pathogen,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
288,Ips cembrae,5919,Microsporidia,Chytridiopsis typographi,Poland,pathogen,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
289,Ips cembrae,5919,Microsporidia,Chytridiopsis typographi,Hungary,pathogen,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
290,Ips cembrae,5919,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
294,Ips cembrae,5919,Microsporidia,Nosema sp.,Czech Republic,pathogen,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
295,Ips cembrae,5919,Microsporidia,Nosema sp.,Poland,pathogen,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
