Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
620,Dendroctonus frontalis,479,Bacteria,Serratia marcescens,United States,,laboratory,,,isolated from infected beetle,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
629,Ips typographus,1733,Bacteria,Serratia liquifaciens,Turkey,pathogen? increased mortality relative to the control,laboratory,morphological and molecular,,isolated from cadaver,pathogenicity test,"Muratoglu et al., 2011",2011,full text,"Muratoǧlu, H., Sezen, K., & Demirbaǧ, Z. (2011). Determination and pathogenicity of the bacterial flora associated with the spruce bark beetle, Ips typographus (L.)(Coleoptera: Curculionidae: Scolytinae). Turkish Journal of Biology, 35(1), 9-20."
630,Ips typographus,1733,Bacteria,Bacillus sphaericus,Turkey,,laboratory,morphological and molecular,,isolated from cadaver,pathogenicity test,"Muratoglu et al., 2011",2011,full text,"Muratoǧlu, H., Sezen, K., & Demirbaǧ, Z. (2011). Determination and pathogenicity of the bacterial flora associated with the spruce bark beetle, Ips typographus (L.)(Coleoptera: Curculionidae: Scolytinae). Turkish Journal of Biology, 35(1), 9-20."
631,Ips typographus,1733,Bacteria,Acinetobacter sp.,Turkey,,laboratory,morphological and molecular,,isolated from cadaver,pathogenicity test,"Muratoglu et al., 2011",2011,full text,"Muratoǧlu, H., Sezen, K., & Demirbaǧ, Z. (2011). Determination and pathogenicity of the bacterial flora associated with the spruce bark beetle, Ips typographus (L.)(Coleoptera: Curculionidae: Scolytinae). Turkish Journal of Biology, 35(1), 9-20."
632,Ips typographus,1733,Bacteria,Proteus vulgaris,Turkey,,laboratory,morphological and molecular,,isolated from cadaver,pathogenicity test,"Muratoglu et al., 2011",2011,full text,"Muratoǧlu, H., Sezen, K., & Demirbaǧ, Z. (2011). Determination and pathogenicity of the bacterial flora associated with the spruce bark beetle, Ips typographus (L.)(Coleoptera: Curculionidae: Scolytinae). Turkish Journal of Biology, 35(1), 9-20."
633,Anisandrus dispar,2083,Bacteria,Bacillus thuringiensis subsp. Tolworthi,Italy,pathogen,,,,,,Natali et al. 1994,1994,only English abstract,"Natali, V., Paparatti, B., & Canganella, F. (1994). Microorganisms carried by Xyleborus dispar (F.)(Coleoptera, Scolytidae) females, collected on European hazel trees in the area surrounding the lake of Vico (Viterbo, central Italy)."
634,Anisandrus dispar,2083,Bacteria,Pseudomonas chlororaphis,Italy,pathogen,,,,,,Natali et al. 1994,1994,only English abstract,"Natali, V., Paparatti, B., & Canganella, F. (1994). Microorganisms carried by Xyleborus dispar (F.)(Coleoptera, Scolytidae) females, collected on European hazel trees in the area surrounding the lake of Vico (Viterbo, central Italy)."
645,Ips typographus,1733,Bacteria,Bacillus thuringiensis var. tenebrionis,,,,,,,pathogenicity test,"Novotny and Turcani, 2000",2000,only English abstract,"Novotny J. & M. Turcani 2000. The results of experimental treatment of biopreparation on the basis of Bacillus thuringiensis var. tenebrionis Berl. for control of Ips typographus L. (Col., Scolytidae). Lesnicky casopis (Forestry Journal) 46, 303-10."
647,Dendroctonus micans,3927,Bacteria,Bacillus mycoides,Turkey,,laboratory,morphological,,four soil-originated Bacillus spp.,infection test,"Odabas Alver et al., 2018",2018,full text,"Odabas Alver, D., & Ertürk, Ö. (2018). Effects of four soil-originated Bacillus spp. on the great spruce bark beetle, Dendroctonus micans (Kugelann)(Coleoptera: Curculionidae, Scolytinae). Egyptian Journal of Biological Pest Control, 28(1), 70."
648,Dendroctonus micans,3927,Bacteria,Bacillus cereus,Turkey,,laboratory,morphological,,four soil-originated Bacillus spp.,infection test,"Odabas Alver et al., 2018",2018,full text,"Odabas Alver, D., & Ertürk, Ö. (2018). Effects of four soil-originated Bacillus spp. on the great spruce bark beetle, Dendroctonus micans (Kugelann)(Coleoptera: Curculionidae, Scolytinae). Egyptian Journal of Biological Pest Control, 28(1), 70."
