Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
407,Ips sexdentatus,1728,Protist,Gregarina typographi,Poland,,,,,detected from beetle,,"Kleespies et al., 2017",2017,full text,"Kleespies, R. G., Lim, Y. W., Tkaczuk, C., Wrzosek, M., Steinwender, B. M., & Wegensteiner, R. (2017). Metschnikowia cf. typographi and other pathogens from the bark beetle Ips sexdentatus–Prevalence, histological and ultrastructural evidence, and molecular characterization. Journal of invertebrate pathology, 143, 69-78."
408,Ips sexdentatus,1728,Protist,Gregarina typographi,Austria,,,,,detected from beetle,,"Kleespies et al., 2017",2017,full text,"Kleespies, R. G., Lim, Y. W., Tkaczuk, C., Wrzosek, M., Steinwender, B. M., & Wegensteiner, R. (2017). Metschnikowia cf. typographi and other pathogens from the bark beetle Ips sexdentatus–Prevalence, histological and ultrastructural evidence, and molecular characterization. Journal of invertebrate pathology, 143, 69-78."
412,Ips typographus,1733,Protist,Telosporidium typographi,Germany,,,,,,,"Kleine, 1944",1944,full text,"Kleine, R. (1944). Die europäischen Borkenkäfer und die bei ihnen lebenden Räuber Parasiten und Commensalen.(Ipidae). Publications of famous biologists-a collection of prints."
413,Pityogenes chalcographus,1739,Protist,Telosporidium chalcographi,Germany,,,,,,,"Kleine, 1944",1944,full text,"Kleine, R. (1944). Die europäischen Borkenkäfer und die bei ihnen lebenden Räuber Parasiten und Commensalen.(Ipidae). Publications of famous biologists-a collection of prints."
490,Ips typographus,1733,Protist,Gregarina typographi,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
491,Ips typographus,1733,Protist,Mattesia schwenkei,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
496,Ips amitinus,1696,Protist,Gregarina typographi,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
497,Ips amitinus,1696,Protist,Mattesia schwenkei,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
499,Ips typographus,1733,Protist,Gregarina typographi,Czech Republic,,,morphological,,evaluation of pathogen from beetles,,"Lukášová and Holuša, 2015",2015,full text,"Lukášová, K., & Holuša, J. (2015). Comparison of pathogens infection level in Ips typographus (Coleoptera: Curculionidae) beetles sampled in pheromone traps and at place of overwintering. Acta Parasitologica, 60(3), 462-465."
584,Ips typographus,1733,Protist,Gregarina typographi,Slovakia,pathogen,,,,evaluation of pathogen from beetles,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
585,Ips typographus,1733,Protist,Malamoeba scolyti,Slovakia,pathogen,,,,evaluation of pathogen from beetles,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
657,Pityokteines curvidens,1747,Protist,Gregarina sp.,Croatia,pathogen; occurrence survey,,,midgut lumen,isolated from beetle,,"Pernek et al., 2009",2009,full text,"Pernek, M., Matošević, D., Hrašovec, B., Kučinić, M., & Wegensteiner, R. (2009). Occurrence of pathogens in outbreak populations of Pityokteines spp.(Coleoptera, Curculionidae, Scolytinae) in silver fir forests. Journal of Pest Science, 82(4), 343-349."
