Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
351,Orthotomicus laricis,1736,Fungi,Beauveria bassiana,Slovenia,,,,,isolated from cadaver,,"Jurc, 2004",2004,full text,"Jurc, M. (2004). insect pathogens with special reference to pathogens of bark beetles (COL. Solytidae: Ips typographus L.): preliminary results of isolation of entomopathogenic fungi from two spruce bark beetles in Slovenia. Zbornik gozdarstva in lesarstva. forest and wood science & technology, 74, 97-124."
352,Dryocoetes autographus,1837,Fungi,Beauveria bassiana,Slovenia,,,,,isolated from cadaver,,"Jurc, 2004",2004,full text,"Jurc, M. (2004). insect pathogens with special reference to pathogens of bark beetles (COL. Solytidae: Ips typographus L.): preliminary results of isolation of entomopathogenic fungi from two spruce bark beetles in Slovenia. Zbornik gozdarstva in lesarstva. forest and wood science & technology, 74, 97-124."
353,Ips typographus,1733,Fungi,Beauveria bassiana,,,,,,,,Karpinski 1935,1935,non full-text ,"Karpinski J.J. 1935. Les causes qui limitent la reproduction de Bostryches typographes (Ips typographus L. et Ips duplicatus Sahlb.) dans la foret primitive. Inst.Rech.Forets doman., Trav., Compt.rend., Ser. A, Warszawa 15, 1-86, cit. in: Müller-Kögler E. 1965. Pilzkrankheiten bei Insekten. P. Parey."
354,Ips typographus,1733,Fungi,Metarhizium anisopliae,Switzerland,,,,,,,"Keller et al., 2004",2004,,"Keller, S., Epper, C., & Wermelinger, B. (2004). Metarhizium anisopliae as a new pathogen of the spruce bark beetle Ips typographus."
355,Ips typographus,1733,Fungi,Beauveria bassiana,Switzerland,,,,,,,"Keller et al., 2004",2004,,"Keller, S., Epper, C., & Wermelinger, B. (2004). Metarhizium anisopliae as a new pathogen of the spruce bark beetle Ips typographus."
361,Polygraphus proximus,8944,Fungi,Beauveria bassiana,Russia,pathogen,laboratory,molecular,cuticular contact,isolated from cadaver,pathogenicity test,"Kerchev et al., 2017",2017,full text,"Kerchev, I. A., Kryukov, V. Y., Yaroslavtseva, O. N., Polovinko, G. P., Tokarev, Y. S., & Glupov, V. V. (2017). The first data on fungal pathogens (ascomycota, hypocreales) in the invasive populations of four-eyed fir bark beetle Polygraphus proximus Blandf. Russian journal of biological invasions, 8(1), 34-40."
362,Polygraphus proximus,8944,Fungi,Beauveria pseudobassiana,Russia,pathogen,,molecular,,isolated from cadaver,,"Kerchev et al., 2017",2017,full text,"Kerchev, I. A., Kryukov, V. Y., Yaroslavtseva, O. N., Polovinko, G. P., Tokarev, Y. S., & Glupov, V. V. (2017). The first data on fungal pathogens (ascomycota, hypocreales) in the invasive populations of four-eyed fir bark beetle Polygraphus proximus Blandf. Russian journal of biological invasions, 8(1), 34-40."
363,Polygraphus proximus,8944,Fungi,Isaria farinosa,Russia,pathogen,laboratory,morphological,cuticular contact,isolated from cadaver,pathogenicity test,"Kerchev et al., 2017",2017,full text,"Kerchev, I. A., Kryukov, V. Y., Yaroslavtseva, O. N., Polovinko, G. P., Tokarev, Y. S., & Glupov, V. V. (2017). The first data on fungal pathogens (ascomycota, hypocreales) in the invasive populations of four-eyed fir bark beetle Polygraphus proximus Blandf. Russian journal of biological invasions, 8(1), 34-40."
364,Polygraphus proximus,8944,Fungi,Lecanicillium attenuatum,Russia,pathogen,,molecular,,isolated from cadaver,,"Kerchev et al., 2017",2017,full text,"Kerchev, I. A., Kryukov, V. Y., Yaroslavtseva, O. N., Polovinko, G. P., Tokarev, Y. S., & Glupov, V. V. (2017). The first data on fungal pathogens (ascomycota, hypocreales) in the invasive populations of four-eyed fir bark beetle Polygraphus proximus Blandf. Russian journal of biological invasions, 8(1), 34-40."
367,Ips typographus,1733,Fungi,un identified entomopathogenic fungus,Georgia,,,,,evaluation of pathogens from beetles,,"Kereselidze and Wegensteiner, 2007",2007,full text,"Kereselidze, M., & Wegensteiner, R. (2007). Occurrence of pathogens and parasites in Ips typographus L. from spruce stands (Picea orientalis L.) in Georgia. IOBC wprs Bulletin, 30(1), 207."
370,Ips typographus,1733,Fungi,Fusarium sp.,Georgia,,,,,,,"Kereselidze et al., 2010",2010,full text,"Kereselidze, M., Wegensteiner, R., Goginashvili, N., Tvaradze, M., & Pilarska, D. (2010). Further studies on the occurrence of natural enemies of Ips typographus (Coleoptera: Curculionidae: Scolytinae) in Georgia. Acta zool. bulg, 62(2), 131-139."
372,Ips stebbingi,5932,Fungi,Beauveria bassiana,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Kerchev, I. A. (2018). Evaluating the efficacy of entomopathogenic fungi against the bark beetle, Ips stebbingi Strohmeyer (Coleoptera, Curculionidae: Scolytinae) in India. Entomological Review, 98(8), 985-994."
373,Ips stebbingi,5932,Fungi,Lecanicillium lecanii,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Kerchev, I. A. (2018). Evaluating the efficacy of entomopathogenic fungi against the bark beetle, Ips stebbingi Strohmeyer (Coleoptera, Curculionidae: Scolytinae) in India. Entomological Review, 98(8), 985-994."
374,Ips stebbingi,5932,Fungi,Metarhizium anisopliae,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Kerchev, I. A. (2018). Evaluating the efficacy of entomopathogenic fungi against the bark beetle, Ips stebbingi Strohmeyer (Coleoptera, Curculionidae: Scolytinae) in India. Entomological Review, 98(8), 985-994."
375,Polygraphus major,1036,Fungi,Beauveria bassiana,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., & Buhroo, A. A. (2018). An assessment of biological control of Polygraphus major Stebbing, 1903 (Coleoptera: Curculionidae) by entomopathogenic fungi. Journal of Forest Science, 64(4), 178-186."
376,Polygraphus major,1036,Fungi,Lecanicillium lecanii,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., & Buhroo, A. A. (2018). An assessment of biological control of Polygraphus major Stebbing, 1903 (Coleoptera: Curculionidae) by entomopathogenic fungi. Journal of Forest Science, 64(4), 178-186."
377,Polygraphus major,1036,Fungi,Metarhizium anisopliae,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., & Buhroo, A. A. (2018). An assessment of biological control of Polygraphus major Stebbing, 1903 (Coleoptera: Curculionidae) by entomopathogenic fungi. Journal of Forest Science, 64(4), 178-186."
378,Pityogenes scitus,5959,Fungi,Beauveria bassiana,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Mazur, S. (2018). Laboratory evaluation of entomopathogenic fungi as biological control agents against the bark beetle Pityogenes scitus Blandford (Coleoptera: Curculionidae) in Kashmir. Folia Forestalia Polonica. Series A. Forestry, 60(2)."
