Beetle Host ID,Beetle Species,No. records,No. pathogen taxa,No. countries,Associated Pathogens,Associated Countries,Pathogen Record IDs
2755,Pityophthorus pityographus,2,2,2,Chytridiopsis cf. typographi; Malamoeba scolyti,Austria; Bulgaria,"218, 768"
5697,Scolytus ensifer,2,2,1,Nosema scolyti; Stempellia scolyti,Germany,"475, 479"
1165,Scolytus pygmaeus,2,2,1,Nosema scolyti; Stempellia scolyti,Germany,"477, 481"
1873,Trypodendron domesticum,2,2,2,Nematodes; Pleistophora xyloteri,Germany; Poland,"683, 927"
8189,Cryphalus saltuarius,1,1,1,Chytridiopsis cf. typographi,Bulgaria,770
6387,Crypturgus cinereus,1,1,1,Beauveria bassiana,Europe,393
490,Dendroctonus terebrans,1,1,1,Contortylenchus terebranus,United States,561
9688,Euwallacea perbrevis,1,1,0,Beauveria bassiana,,130
432,Hylesinus aculeatus,1,1,1,Parasitylenchus lepersini,United States,574
438,Hylesinus crenatus,1,1,1,Lecanicillium lecanii,Poland,67
199007,Hylurgops starki,1,1,0,Contortylenchus rarus,,738
3730,Ips cribricollis,1,1,1,Contortylenchus cribicolli,United States,566
1712,Ips integer,1,1,1,Ektaphelenchus riograndensis,United States,539
1715,Ips lecontei,1,1,1,Ektaphelenchus riograndensis,United States,541
1721,Ips pilifrons,1,1,1,Contortylenchus spirus,United States,568
1735,Orthotomicus caelatus,1,1,1,Parasitylenchus oriundus,United States,575
3341,Phloeosinus sp. undetermined,1,1,1,Sychnotylenchus phloeosini,United States,549
1737,Pityogenes bidentatus,1,1,1,Nematodan,Bulgaria,794
5950,Pityogenes calcaratus,1,1,1,Nosema calcarati,Israel,681
1746,Pityogenes quadridens,1,1,1,Nematodan,Bulgaria,798
1035,Polygraphus hoppingi,1,1,1,Parasitylenchus parasitus,United States,579
8959,Polygraphus subopacus,1,1,1,Gregarina cf. typographi,Bulgaria,769
5680,Scolytus amygdali,1,1,0,Aspergillus sp.,,996
1139,Scolytus intricatus,1,1,1,Lecanicillium lecanii,Poland,65
1140,Scolytus kirschii,1,1,1,Lecanicillium lecanii,Poland,66
1170,Scolytus rugulosus,1,1,1,Neoparasitylenchus rugulosi,United States,640
1173,Scolytus sp. undetermined,1,1,1,Beauveria densa,Poland,42
6405,Trypodendron laeve,1,1,1,Nematodes,Czech Republic,926
7453,Xyleborus aquilus,1,1,1,Metarhizium anisopliae,China,971
