Record Block ID,Records ID,Beetle Host,Beetle Host IDs,pathogens,categories,organism source,infection site,ecological relationship,identification method,validation type,experimental conditions,country or region,year,source,title,doi or full text,full text
3cd970ea-0cac-8198-8225-fc63863ecbf7,21,Scolytus laevis,3cd970ea-0cac-8119-a403-c6e226165996,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-81b4-9313-d846600a13e3,22,Polygraphus poligraphus,3cd970ea-0cac-8198-96bc-d4687d039075,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-81b3-80ec-c41110da59c9,23,Hylurgops palliatus,3cd970ea-0cac-816f-b74a-dc5ef373dcda,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-819d-9ebd-fe6d44278528,24,Hylastes opacus,3cd970ea-0cac-8157-8634-c2f4a969b71c,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-81ad-bb7d-f15ec0fced03,25,Dryocoetes autographus,3cd970ea-0cac-81b6-87c6-e583eea30425,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-8158-86ad-ee138efa8a32,26,Leperesinus fraxini,3cd970ea-0cac-81e8-b348-cc3ce20b5b95,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-8150-81c1-decf5eea982e,27,Ips amitinus,3cd970ea-0cac-815a-a757-ffcc6a0735b5,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-819f-9d4d-eaee118d155a,28,Ips typographus,3cd970ea-0cac-81e7-bd37-c7209a5601d7,Isaria farinosa,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-818d-9020-d33b6a3283d5,29,Ips acuminatus,3cd970ea-0cac-81e3-9078-eb847964ce01,Beauveria bassiana,Fungi,,,pathogen,,,,Poland,1987,"Balazy et al., 1987","Bałazy, S., Michalski, J., Ratajczak, E., 1987. Contribution to the knowledge of natural enemies of Ips acuminatus Gyll. (Coleoptera; Scolytidae). Polskie Pismo Entomologiczne 57, 735–745.",https://www.cabidigitallibrary.org/doi/full/10.5555/19901181403,only English abstract
3cd970ea-0cac-817d-9d10-f5810ee40d74,30,Ips acuminatus,3cd970ea-0cac-81e3-9078-eb847964ce01,Contortylenchus acuminati,Nematode,,,associate,,,,Poland,1987,"Balazy et al., 1987","Bałazy, S., Michalski, J., Ratajczak, E., 1987. Contribution to the knowledge of natural enemies of Ips acuminatus Gyll. (Coleoptera; Scolytidae). Polskie Pismo Entomologiczne 57, 735–745.",https://www.cabidigitallibrary.org/doi/full/10.5555/19901181403,only English abstract
3cd970ea-0cac-8128-9739-c6ef617db5c5,31,Scolytus multistriatus,3cd970ea-0cac-81d9-bda0-ca455fdf65b6,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-8176-b9e0-f02abf562330,32,Scolytus ratzeburgi,3cd970ea-0cac-81a2-9878-da1338425f66,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-817b-98f4-d43811fdfcd1,33,Scolytus scolytus,3cd970ea-0cac-818b-a96b-ee29650d93b8,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-81c3-9913-d241af81c473,34,Scolytus laevis,3cd970ea-0cac-8119-a403-c6e226165996,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-8152-9040-ed8a9cafc6c6,35,Polygraphus poligraphus,3cd970ea-0cac-8198-96bc-d4687d039075,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-817f-9f89-ec3e24377268,36,Hylurgops palliatus,3cd970ea-0cac-816f-b74a-dc5ef373dcda,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-81e5-8077-d3c525fda669,37,Hylastes opacus,3cd970ea-0cac-8157-8634-c2f4a969b71c,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-81a7-8d31-e868c1caf15b,38,Dryocoetes autographus,3cd970ea-0cac-81b6-87c6-e583eea30425,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-8103-ba2a-e539365d353b,39,Leperesinus fraxini,3cd970ea-0cac-81e8-b348-cc3ce20b5b95,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-815b-a33c-cf9a663ae07b,40,Ips amitinus,3cd970ea-0cac-815a-a757-ffcc6a0735b5,Beauveria bassiana,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-81b6-b182-d1581815f20e,41,Crypturgus pusillus,3cd970ea-0cac-81dc-ae3a-e71210daa3de,Lecanicillium lecanii,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-8142-bb75-c7df949a7cd6,42,Scolytus spp.,3cd970ea-0cac-8141-bf1b-c91cdd7db33f,Beauveria densa,Fungi,,,,,,,Poland,1962,"Balazy, 1962","Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4.",,
3cd970ea-0cac-81ed-aad0-dccd2bc936f2,43,Polygraphus poligraphus,3cd970ea-0cac-8198-96bc-d4687d039075,Lecanicillium lecanii,Fungi,,,pathogen,,,,Poland,1963,"Balazy, 1963","Bałazy, S., 1963. The fungus Cephalosporium (Acrostalagmus) lecanii Zimm., a pathogen of beetle larvae. Acta Societatis Botanicorum Poloniae 32, 69–80.",https://www.cabidigitallibrary.org/doi/full/10.5555/19630601004,only English abstract
